#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-25T16:56:06 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-25T16:56:06	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/701/A297/tablee1&-out.max=unlimited&-out.all=2	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_37010297
#Name: J/A+A/701/A297
#Title: Microturbulence across the HR Diagram (Markova+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/a+a/701/a297	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/701/a297	    IVOID of underlying data collection
#INFO	creator=Markova N.	    First author or institution
#INFO	cites=bibcode:2025A&A...701A.297M	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/701/A297	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bc-nx/lcjh	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-08-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_701_A297_tablee1:
#Name: J/A+A/701/A297/tablee1
#Title: Effective temperature, surface equatorial gravity, micro-turbulent velocity and spectroscopic luminosity of non-pulsating Galactic stars
#Column	ID	(a11)	Star name/Star identifier	[ucd=meta.id;meta.main]
#Column	Teff	(F5.2)	Effective temperature (1)	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	Logarithm of surface equatorial gravity	[ucd=phys.gravity]
#Column	Vmic	(F5.2)	Micro-turbulent velocity (2)	[ucd=phys.veloc.microTurb]
#Column	logLsp	(F5.2)	Logarithm of spectroscopic luminosity (G1)	[ucd=phys.luminosity]
#Column	SpType	(A2)	Spectral type (4)	[ucd=src.spType]
ID	Teff	logg	Vmic	logLsp	SpType
KIS11622328	 8.30	 3.80	 2.80	 1.27	 a
KIS11973705	 7.50	 3.90	 3.40	 0.99	 f
HD571      	 6.27	 2.10	 3.60	 2.48	 f
HD3421     	 5.13	 2.15	 2.50	 2.08	 g
HD6130     	 6.88	 2.05	 2.70	 2.69	 f
HD9900     	 4.43	 1.18	 2.80	 2.80	 g
HD16780    	 5.02	 2.09	 2.90	 2.10	 g
HD17818    	 5.02	 1.73	 2.20	 2.46	 g
HD20902    	 6.35	 1.90	 5.30	 2.70	 f
HD23230    	 6.56	 2.44	 3.50	 2.22	 f
HD25291    	 6.82	 1.87	 3.20	 2.85	 f
HD25877    	 5.06	 1.91	 1.70	 2.30	 g
HD26630    	 5.38	 1.73	 3.60	 2.58	 g
HD27022    	 5.44	 2.89	 1.20	 1.44	 g
HD31910    	 5.30	 1.79	 4.80	 2.50	 g
HD34578    	 8.30	 2.10	 4.30	 2.97	 a
HD36079    	 5.45	 2.60	 1.30	 1.74	 g
HD36673    	 6.85	 1.34	 3.90	 3.39	 f
HD38713    	 5.00	 2.45	 2.10	 1.74	 g
HD47731    	 4.90	 1.70	 2.30	 2.45	 g
HD54605    	 5.85	 1.00	 7.00	 3.46	 g
HD57146    	 5.26	 1.90	 3.20	 2.37	 g
HD58526    	 5.38	 2.21	 4.00	 2.10	 g
HD59890    	 5.30	 1.66	 5.20	 2.63	 g
HD63700    	 4.88	 1.21	 5.10	 2.93	 g
HD64238    	 6.67	 2.61	 3.50	 2.08	 f
HD65228    	 5.69	 2.17	 3.70	 2.24	 f
HD67456    	 8.53	 2.67	 3.50	 2.44	 a
HD67594    	 5.21	 1.75	 3.30	 2.51	 g
HD68752    	 5.13	 2.04	 2.30	 2.19	 g
HD74395    	 5.37	 2.08	 3.50	 2.23	 g
HD92125    	 5.47	 2.36	 2.70	 1.98	 g
HD109379   	 5.10	 2.52	 1.50	 1.70	 g
HD119035   	 5.19	 2.75	 1.00	 1.50	 g
HD119605   	 5.43	 2.37	 2.50	 1.96	 g
HD147084   	 8.37	 2.12	 2.80	 2.96	 a
HD159181   	 5.16	 1.86	 3.00	 2.38	 g
HD171635   	 6.00	 1.70	 4.60	 2.80	 f
HD176123   	 5.20	 2.25	 2.50	 2.00	 g
HD178524   	 6.59	 2.21	 3.20	 2.46	 f
HD185018   	 5.55	 2.06	 2.80	 2.31	 g
HD187203   	 5.75	 2.15	 4.20	 2.28	 g
HD194069   	 4.87	 2.00	 3.10	 2.14	 g
HD194093   	 5.79	 1.02	 5.20	 3.42	 g
HD195295   	 6.57	 2.32	 3.60	 2.34	 f
HD204867   	 5.49	 1.86	 3.70	 2.49	 g
HD206859   	 4.91	 1.58	 2.80	 2.57	 g
HD209693   	 5.28	 2.35	 2.30	 1.93	 g
HD209750   	 5.21	 1.76	 3.80	 2.50	 g
HD216206   	 4.96	 1.90	 3.40	 2.27	 g
HD4362     	 5.22	 1.55	 4.00	 2.71	 g
HD17378    	 8.57	 1.18	10.80	 3.94	 a
HD51330    	 6.71	 2.02	 3.30	 2.68	 f
HD58585    	 7.24	 1.92	 2.00	 2.91	 a
HD59612    	 8.62	 1.78	 7.80	 3.35	 a
HD61227    	 6.69	 2.02	 2.70	 2.67	 f
HD70761    	 6.60	 1.25	 3.90	 3.42	 f
HD118605   	 5.43	 2.37	 2.50	 1.96	 g
HD148743   	 7.40	 1.80	 4.80	 3.07	 a
HD172594   	 6.76	 1.66	 4.60	 3.05	 f
HD174464   	 6.73	 1.75	 3.40	 2.95	 f
HD182835   	 6.70	 1.43	 4.40	 3.26	 f
HD193370   	 6.18	 1.53	 5.00	 3.02	 f
HD194951   	 6.76	 1.92	 4.20	 2.79	 f
HD195593   	 6.29	 1.44	 4.10	 3.15	 f
HD196379   	 7.02	 1.66	 3.40	 3.12	 a
HD432      	 6.94	 3.65	 3.50	 1.11	 f
HD725      	 6.74	 1.97	 5.00	 2.73	 f
HD1457     	 7.67	 1.71	 4.40	 3.22	 a
HD1671     	 6.42	 3.42	 2.40	 1.20	 f
HD1778     	 6.77	 3.49	 3.80	 1.22	 f
HD3123     	 7.63	 1.37	 5.40	 3.55	 f
HD3421     	 5.62	 2.78	 3.00	 1.61	 g
HD4266     	 7.17	 2.31	 3.80	 2.50	 f
HD4362     	 5.83	 2.30	 4.70	 2.15	 g
HD4614     	 5.92	 4.19	 1.30	 0.29	 f
HD5015     	 6.14	 3.75	 1.40	 0.79	 f
HD5392     	 6.83	 2.08	 4.80	 2.65	 f
HD6130     	 7.07	 2.35	 3.90	 2.44	 f
HD6903     	 5.73	 2.71	 2.50	 1.71	 g
HD6920     	 5.91	 3.44	 1.70	 1.04	 f
HD8538     	 8.02	 3.52	 1.90	 1.49	 a
HD9826     	 6.21	 4.06	 1.60	 0.50	 f
HD9973     	 6.44	 1.81	 6.20	 2.82	 f
HD10204    	 7.67	 3.70	 3.00	 1.23	 a
HD11257    	 7.15	 4.33	 2.50	 0.48	 f
HD11443    	 6.34	 3.61	 1.90	 0.99	 f
HD13161    	 8.02	 3.70	 2.30	 1.31	 f
HD13871    	 6.55	 3.95	 1.90	 0.71	 f
HD13974    	 5.92	 4.31	 1.10	 0.17	 g
HD14662    	 6.18	 1.73	 5.10	 2.82	 f
HD14738    	 6.64	 3.15	 2.80	 1.53	 f
HD15784    	 6.87	 3.23	 4.00	 1.51	 f
HD16088    	 6.91	 1.90	 4.30	 2.85	 f
HD16895    	 6.33	 4.18	 1.20	 0.42	 f
HD16901    	 5.92	 1.94	 5.00	 2.54	 g
HD17086    	 7.23	 2.42	 3.40	 2.41	 a
HD17484    	 6.64	 3.54	 3.20	 1.14	 f
HD18262    	 6.46	 3.88	 1.90	 0.75	 f
HD19373    	 5.95	 4.11	 1.50	 0.38	 g
HD20902    	 6.56	 1.92	 5.10	 2.74	 f
HD21844    	 6.98	 4.02	 2.80	 0.75	 f
HD22484    	 5.96	 3.86	 1.40	 0.63	 f
HD23061    	 6.56	 4.19	 1.50	 0.47	 f
HD23156    	 7.94	 4.35	 3.20	 0.64	 a
HD23194    	 8.29	 4.29	 2.70	 0.77	 a
HD23230    	 6.71	 2.60	 3.60	 2.10	 f
HD23269    	 6.27	 4.38	 1.60	 0.20	 f
HD23289    	 6.83	 4.21	 2.10	 0.52	 f
HD23326    	 6.86	 4.32	 2.20	 0.42	 f
HD23375    	 7.38	 4.18	 2.90	 0.68	 f
HD23511    	 6.57	 4.35	 1.60	 0.31	 f
HD23514    	 6.59	 4.15	 1.30	 0.52	 f
HD23585    	 7.44	 4.29	 3.00	 0.59	 f
HD23607    	 7.78	 4.27	 3.30	 0.68	 a
HD24740    	 6.98	 4.14	 2.60	 0.63	 f
HD25056    	 5.87	 1.60	 5.10	 2.87	 g
HD25291    	 7.05	 1.85	 4.10	 2.93	 f
HD25570    	 6.81	 4.16	 2.10	 0.56	 f
HD25998    	 6.36	 4.37	 1.40	 0.23	 f
HD26015    	 6.88	 4.28	 2.30	 0.46	 f
HD26345    	 6.67	 4.30	 2.00	 0.39	 f
HD26462    	 6.95	 4.21	 2.20	 0.55	 f
HD26630    	 5.84	 2.37	 4.00	 2.09	 g
HD26784    	 6.33	 4.20	 1.50	 0.40	 f
HD27383    	 6.28	 4.55	 1.50	 0.03	 f
HD27406    	 6.17	 4.41	 1.60	 0.14	 f
HD27459    	 7.70	 4.06	 2.60	 0.88	 a
HD27524    	 6.62	 4.20	 1.40	 0.47	 f
HD27534    	 6.59	 4.24	 1.60	 0.43	 f
HD27561    	 6.70	 4.33	 2.10	 0.36	 f
HD27691    	 6.21	 4.27	 1.50	 0.29	 f
HD27808    	 6.34	 4.36	 1.60	 0.24	 f
HD27819    	 8.05	 3.95	 2.80	 1.06	 a
HD27836    	 6.12	 4.65	 2.10	-0.11	 g
HD27859    	 6.05	 4.43	 1.40	 0.09	 g
HD27934    	 8.12	 3.76	 2.30	 1.27	 a
HD27991    	 6.37	 4.30	 1.50	 0.31	 f
HD28033    	 6.29	 4.24	 1.50	 0.35	 f
HD28319    	 7.83	 3.73	 2.50	 1.24	 a
HD28394    	 6.39	 4.28	 1.60	 0.33	 f
HD28406    	 6.54	 4.29	 1.70	 0.36	 f
HD28483    	 6.48	 4.27	 1.60	 0.37	 f
HD29789    	 6.85	 4.09	 2.60	 0.64	 f
HD30652    	 6.53	 4.32	 1.50	 0.33	 f
HD32655    	 6.85	 2.56	 4.00	 2.17	 f
HD34578    	 8.08	 1.74	 4.00	 3.28	 a
HD36673    	 7.46	 1.41	 5.10	 3.47	 f
HD48843    	 7.24	 2.14	 3.80	 2.69	 a
HD50420    	 7.20	 3.28	 3.00	 1.54	 a
HD55052    	 6.82	 3.53	 3.30	 1.20	 f
HD58855    	 6.40	 4.17	 1.30	 0.45	 f
HD59612    	 7.89	 1.30	 6.10	 3.68	 a
HD61295    	 6.92	 3.58	 3.70	 1.17	 f
HD61421    	 6.60	 3.94	 2.20	 0.73	 f
HD65456    	 7.81	 2.17	 3.70	 2.79	 a
HD71297    	 7.95	 4.33	 2.80	 0.66	 a
HD72779    	 5.79	 2.90	 2.40	 1.54	 g
HD72905    	 6.03	 4.66	 1.20	-0.15	 g
HD73294    	 6.41	 3.70	 2.10	 0.92	 f
HD73617    	 6.82	 4.04	 1.60	 0.69	 f
HD73785    	 7.72	 3.51	 2.20	 1.43	 a
HD73854    	 6.97	 4.05	 2.30	 0.71	 f
HD75555    	 6.49	 3.57	 2.40	 1.07	 f
HD76151    	 5.85	 4.39	 1.10	 0.07	 g
HD81997    	 6.54	 4.19	 1.60	 0.46	 f
HD89025    	 6.95	 2.95	 3.10	 1.81	 f
HD90071    	 7.21	 4.23	 3.00	 0.59	 f
HD90277    	 7.46	 3.57	 3.40	 1.31	 a
HD92125    	 5.68	 2.57	 2.70	 1.84	 g
HD95128    	 5.88	 4.22	 1.50	 0.25	 g
HD96097    	 6.99	 3.82	 2.80	 0.95	 f
HD99373    	 6.45	 3.76	 1.80	 0.87	 f
HD101107   	 6.98	 4.13	 1.80	 0.64	 f
HD101133   	 6.82	 3.44	 3.70	 1.29	 f
HD101841   	 6.86	 3.70	 2.40	 1.04	 f
HD102870   	 6.14	 3.87	 1.60	 0.67	 f
HD103313   	 7.77	 3.72	 2.70	 1.23	 a
HD106946   	 6.92	 4.27	 1.80	 0.48	 f
HD106975   	 6.75	 4.18	 1.90	 0.53	 f
HD107086   	 6.59	 4.28	 1.60	 0.39	 f
HD107213   	 6.28	 3.93	 1.80	 0.65	 f
HD107326   	 7.18	 3.95	 2.20	 0.87	 f
HD108807   	 6.51	 4.18	 1.40	 0.46	 f
HD109358   	 5.89	 4.24	 1.30	 0.23	 g
HD111812   	 5.81	 3.30	 2.20	 1.15	 g
HD111844   	 6.16	 3.67	 1.60	 0.88	 f
HD113139   	 6.89	 4.13	 1.90	 0.61	 f
HD114710   	 6.07	 4.28	 1.20	 0.24	 g
HD115383   	 6.14	 4.30	 1.50	 0.24	 g
HD119605   	 5.61	 2.32	 3.10	 2.07	 g
HD120136   	 6.45	 4.15	 1.70	 0.48	 f
HD121370   	 6.12	 3.79	 2.10	 0.75	 g
HD124553   	 6.10	 3.84	 1.50	 0.69	 g
HD124674   	 6.87	 4.32	 2.00	 0.42	 f
HD124675   	 7.68	 3.66	 1.80	 1.27	 f
HD124850   	 6.18	 3.59	 1.80	 0.96	 f
HD125161   	 7.72	 4.11	 1.80	 0.83	 a
HD126660   	 6.29	 4.10	 1.60	 0.49	 f
HD126868   	 5.73	 3.67	 1.80	 0.75	 g
HD130945   	 6.36	 3.61	 1.90	 0.99	 f
HD130948   	 6.03	 4.35	 1.30	 0.16	 f
HD134083   	 6.57	 4.17	 1.60	 0.49	 f
HD135153   	 7.07	 1.87	 4.00	 2.92	 f
HD136160A  	 6.45	 4.21	 1.40	 0.42	 f
HD136160B  	 6.02	 4.28	 1.20	 0.23	 g
HD136202   	 6.17	 3.79	 1.50	 0.76	 f
HD136751   	 6.88	 3.94	 2.00	 0.80	 f
HD138290   	 6.89	 4.43	 2.20	 0.31	 f
HD138525   	 6.19	 3.63	 1.70	 0.93	 f
HD138803   	 7.08	 3.88	 2.60	 0.91	 f
HD139478   	 7.17	 4.20	 2.80	 0.61	 f
HD142267   	 5.81	 4.24	 0.80	 0.21	 g
HD142357   	 6.63	 3.53	 2.50	 1.15	 f
HD142860   	 6.34	 4.10	 1.50	 0.50	 f
HD142908   	 6.90	 3.89	 2.30	 0.86	 f
HD143761   	 5.82	 3.93	 1.30	 0.52	 g
HD147084   	 7.84	 1.92	 3.30	 3.05	 a
HD149303   	 6.11	 4.59	 1.60	-0.06	 f
HD150012   	 6.61	 3.78	 2.20	 0.89	 f
HD150680   	 5.82	 3.76	 1.80	 0.69	 g
HD155646   	 6.27	 3.59	 1.70	 0.99	 f
HD157214   	 5.71	 3.76	 0.90	 0.66	 g
HD159181   	 5.65	 2.74	 3.70	 1.66	 g
HD160365   	 6.18	 3.05	 2.50	 1.50	 f
HD160933   	 5.84	 3.58	 1.40	 0.88	 g
HD161149   	 6.85	 3.39	 3.50	 1.34	 f
HD161239   	 5.87	 3.82	 1.70	 0.65	 g
HD162003   	 6.59	 3.95	 1.90	 0.72	 f
HD162004   	 6.25	 4.19	 1.30	 0.38	 f
HD162826   	 6.17	 4.13	 1.30	 0.42	 f
HD164613   	 6.93	 2.88	 3.60	 1.87	 f
HD168393   	 6.46	 3.43	 1.80	 1.20	 f
HD171635   	 6.13	 1.52	 5.60	 3.02	 f
HD172149   	 6.89	 4.25	 1.70	 0.49	 f
HD172594   	 6.80	 1.82	 5.40	 2.90	 f
HD173638   	 7.09	 1.67	 4.40	 3.12	 f
HR3229     	 5.00	 1.75	 2.40	 2.44	 g
HR4114     	 7.00	 1.50	 4.50	 3.27	 f
HR4912     	 6.00	 1.00	 4.70	 3.50	 g
HR5156     	 6.00	 3.25	 3.20	 1.25	 g
HR7671     	 6.50	 1.25	 3.20	 3.39	 f
HR8470     	 6.30	 2.00	 2.80	 2.59	 f
HD114520   	 6.30	 3.25	 2.80	 1.34	 f
HD37042    	29.00	 4.20	 1.50	 3.04	 b
HD48691    	27.50	 3.60	 7.50	 3.55	 b
HD292164   	22.00	 3.30	 9.00	 3.46	 b
HD36512    	33.40	 4.30	 4.00	 3.19	 o
HD37020    	30.70	 4.30	 0.00	 3.04	 b
HD36960    	29.00	 4.10	 4.00	 3.14	 b
HD37042    	29.30	 4.30	 2.00	 2.96	 b
HD36591    	27.00	 4.12	 2.00	 3.00	 b
HD36959    	26.10	 4.25	 0.00	 2.81	 b
HD37744    	24.00	 4.10	 0.00	 2.81	 b
HD35299    	24.00	 4.20	 0.00	 2.71	 b
HD36285    	21.70	 4.25	 0.00	 2.49	 b
HD35039    	19.60	 3.56	 4.00	 3.00	 b
HD36629    	20.30	 4.15	 2.00	 2.47	 b
HD36430    	19.30	 4.14	 0.00	 2.39	 b
HD35912    	19.00	 4.00	 2.00	 2.51	 b
HD886      	21.18	 3.98	 1.30	 2.71	 b
HD9132     	 9.20	 4.04	 2.00	 1.21	 a
HD10250    	10.14	 3.98	 0.30	 1.43	 b
HD21790    	11.55	 3.78	 1.60	 1.86	 b
HD29646    	 9.69	 3.99	 0.00	 1.35	 a
HD32630    	17.20	 4.13	 0.00	 2.20	 b
HD38899    	11.09	 4.05	 1.50	 1.52	 b
HD45557    	 9.60	 4.13	 0.20	 1.19	 a
HD47105    	 9.11	 3.53	 0.00	 1.70	 a
HD58142    	 9.42	 3.83	 1.10	 1.46	 a
HD61831    	17.92	 3.99	 0.00	 2.41	 b
HD66591    	17.16	 4.03	 0.00	 2.30	 b
HD77002    	18.77	 4.08	 0.90	 2.40	 b
HD79447    	17.36	 3.83	 0.00	 2.52	 b
HD87901    	12.19	 3.89	 0.10	 1.85	 b
HD93194    	15.69	 4.01	 0.00	 2.16	 b
HD98664    	10.22	 3.85	 1.00	 1.58	 a
HD103287   	 9.34	 3.88	 1.80	 1.39	 a
HD106911   	14.49	 4.15	 0.50	 1.89	 b
HD121263   	23.56	 3.91	 2.20	 2.97	 b
HD121743   	21.64	 4.10	 1.20	 2.63	 b
HD121790   	21.41	 4.18	 1.20	 2.53	 b
HD125238   	18.60	 4.03	 0.00	 2.44	 b
HD129116   	18.44	 4.27	 0.00	 2.18	 b
HD147394   	15.61	 4.03	 0.00	 2.13	 b
HD153808   	10.20	 4.00	 0.70	 1.42	 b
HD158094   	11.96	 3.98	 1.90	 1.72	 b
HD160762   	18.07	 3.82	 0.00	 2.60	 b
HD172167   	 9.55	 3.96	 0.00	 1.35	 a
HD177724   	 9.31	 4.05	 0.00	 1.22	 a
HD182255   	14.65	 4.19	 0.80	 1.86	 b
HD188665   	14.89	 3.86	 0.80	 2.22	 b
HD192907   	10.17	 3.66	 0.70	 1.76	 b
HD193432   	10.21	 3.91	 0.20	 1.52	 b
HD196867   	11.24	 3.79	 1.80	 1.80	 b
HD199081   	15.48	 3.96	 0.00	 2.19	 b
HD201908   	11.57	 4.13	 1.70	 1.51	 b
HD210419   	 9.50	 4.11	 0.00	 1.19	 a
HD214923   	11.19	 3.77	 1.60	 1.82	 b
HD215573   	14.35	 4.14	 0.20	 1.88	 b
HD218045   	 9.77	 3.60	 0.20	 1.75	 a
HD222439   	11.36	 4.17	 1.60	 1.44	 b
HD222661   	10.50	 4.26	 1.50	 1.22	 b
HD225132   	10.29	 3.98	 1.90	 1.46	 b
xxxxxxx1   	21.20	 3.50	 5.00	 3.20	 b
xxxxxxx2   	22.10	 3.70	 7.00	 3.07	 b
xxxxxxx3   	20.90	 3.90	 5.00	 2.77	 b
xxxxxxx4   	17.90	 3.20	 7.00	 3.20	 b
HD23763    	 9.00	 4.19	 2.00	 1.02	 a
HD23924    	 8.14	 4.29	 2.70	 0.74	 a
HD23948    	 9.08	 4.35	 2.30	 0.87	 a
HD23632    	 9.62	 4.22	 1.50	 1.10	 a
HD23863    	 7.91	 4.10	 2.50	 0.88	 a
HD23489    	 9.08	 4.25	 1.90	 0.97	 a
HD23791    	 7.80	 4.32	 3.20	 0.64	 a
HD25697    	 7.39	 4.22	 2.30	 0.65	 a
HD27819    	 8.19	 3.94	 3.00	 1.10	 a
HD27934    	 8.29	 3.83	 3.00	 1.23	 a
HD27962    	 9.02	 3.95	 2.80	 1.26	 a
HD28226    	 7.47	 4.09	 3.30	 0.79	 a
HD28355    	 7.97	 3.97	 3.00	 1.03	 a
HD28527    	 8.18	 3.98	 3.70	 1.06	 a
HD29499    	 7.77	 4.11	 3.00	 0.84	 a
HD29488    	 8.15	 3.80	 2.60	 1.24	 a
HD32301    	 8.11	 3.73	 2.70	 1.30	 a
HD23351    	 6.86	 4.38	 1.45	 0.36	 f
HD23609    	 6.49	 4.28	 1.75	 0.36	 f
HD23247    	 6.95	 4.47	 2.00	 0.29	 f
HD23732    	 6.84	 4.54	 1.70	 0.19	 f
HD23511    	 6.73	 4.63	 1.60	 0.07	 f
HD24357    	 6.97	 4.13	 2.10	 0.63	 f
HD26015    	 6.86	 4.46	 1.80	 0.28	 f
HD26345    	 6.68	 4.36	 1.60	 0.33	 f
HD26911    	 6.81	 4.26	 2.20	 0.46	 f
HD27524    	 6.51	 4.24	 2.10	 0.41	 f
HD27534    	 6.49	 4.26	 1.50	 0.38	 f
HD27561    	 6.71	 4.35	 1.60	 0.35	 f
HD27848    	 6.57	 4.33	 1.50	 0.33	 f
HD28406    	 6.56	 4.40	 1.60	 0.26	 f
HD28556    	 7.64	 4.07	 3.30	 0.85	 f
HD28568    	 6.71	 4.40	 1.90	 0.30	 f
HD28736    	 6.66	 4.30	 1.70	 0.38	 f
HD28911    	 6.59	 4.32	 1.60	 0.35	 f
HD29169    	 6.95	 4.25	 2.20	 0.51	 f
HD30034    	 7.60	 4.05	 2.60	 0.86	 f
HD31236    	 7.16	 3.89	 3.00	 0.92	 f
HD31845    	 6.55	 4.37	 1.90	 0.29	 f
HD18404    	 6.74	 4.37	 1.70	 0.34	 f
HD106103   	 6.71	 4.45	 1.40	 0.25	 f
HD106293   	 6.55	 4.34	 1.40	 0.31	 f
HD106691   	 6.71	 4.43	 1.60	 0.27	 f
HD106946   	 6.89	 4.30	 1.90	 0.44	 f
HD107611   	 6.49	 4.57	 1.40	 0.07	 f
HD109530   	 6.50	 3.85	 2.10	 0.79	 f
HD107877   	 6.60	 4.54	 1.25	 0.13	 f
HD108154   	 6.50	 4.54	 1.15	 0.10	 f
HD108226   	 6.53	 4.45	 1.05	 0.20	 f
HD108976   	 6.41	 4.49	 1.10	 0.13	 f
HD109069   	 6.86	 4.06	 2.20	 0.68	 f
HD107966   	 8.54	 3.82	 2.90	 1.30	 a
HD108382   	 8.32	 3.92	 3.20	 1.15	 a
HD106887   	 8.29	 4.20	 3.80	 0.87	 a
HD107655   	 9.68	 4.10	 2.00	 1.23	 a
HD107168   	 8.28	 4.20	 4.00	 0.86	 a
HD109307   	 8.40	 4.10	 3.30	 0.99	 a
HD108642   	 8.08	 4.06	 3.70	 0.96	 a
HD107276   	 8.00	 4.00	 2.80	 1.00	 a
HD108486   	 8.15	 4.11	 3.00	 0.92	 a
HD106999   	 8.15	 4.09	 3.00	 0.94	 a
HD107513   	 7.28	 4.02	 3.00	 0.82	 a
HD63922    	31.20	 3.95	 8.00	 3.42	 b
HD74575    	22.90	 3.60	 5.00	 3.23	 b
HD122980   	20.80	 4.22	 3.00	 2.44	 b
HD35708    	20.70	 4.15	 2.00	 2.50	 b
HD36822    	30.00	 4.05	 8.00	 3.25	 b
HD205021   	27.00	 3.95	 4.00	 3.17	 b
HD209008   	15.80	 3.75	 4.00	 2.44	 b
HD3360     	20.80	 3.80	 2.00	 2.86	 b
HD34816    	30.40	 4.30	 4.00	 3.02	 b
KIC01726211	 4.98	 2.49	 1.34	 1.69	rg
KIC02013502	 4.91	 2.69	 1.14	 1.47	rg
KIC02303367	 4.60	 2.39	 1.36	 1.65	rg
KIC02424934	 4.79	 2.48	 1.31	 1.63	rg
KIC02448225	 4.58	 2.37	 1.32	 1.66	rg
KIC02714397	 4.91	 2.56	 1.38	 1.59	rg
KIC03217051	 4.59	 2.44	 1.27	 1.60	rg
KIC03455760	 4.65	 2.68	 1.13	 1.38	rg
KIC03730953	 4.86	 2.55	 0.97	 1.59	rg
KIC03744043	 4.95	 2.94	 1.10	 1.23	rg
KIC03758458	 5.01	 2.71	 1.28	 1.48	rg
KIC04036007	 4.92	 2.42	 1.33	 1.74	rg
KIC04044238	 4.52	 2.38	 1.32	 1.63	rg
KIC04243623	 5.01	 3.75	 0.74	 0.44	rg
KIC04243796	 4.62	 2.34	 1.34	 1.71	rg
KIC04351319	 4.88	 3.32	 0.91	 0.82	rg
KIC04445711	 4.88	 2.50	 1.38	 1.64	rg
KIC04902641	 4.99	 2.84	 1.15	 1.34	rg
KIC04952717	 4.79	 3.13	 0.93	 0.98	rg
KIC05000307	 5.02	 2.64	 1.27	 1.55	rg
KIC05033245	 5.05	 3.41	 0.97	 0.79	rg
KIC05088362	 4.76	 2.41	 1.33	 1.69	rg
KIC05128171	 4.81	 2.54	 1.30	 1.58	rg
KIC05266416	 4.77	 2.50	 1.33	 1.60	rg
KIC05307747	 5.03	 2.77	 1.27	 1.43	rg
KIC05530598	 4.60	 2.85	 1.04	 1.19	rg
KIC05723165	 5.26	 3.67	 0.90	 0.60	rg
KIC05737655	 5.03	 2.45	 1.46	 1.75	rg
KIC05806522	 4.57	 2.60	 1.09	 1.43	rg
KIC05866737	 4.87	 2.86	 1.14	 1.28	rg
KIC05990753	 5.01	 2.97	 1.15	 1.22	rg
KIC06117517	 4.65	 2.94	 0.97	 1.12	rg
KIC06144777	 4.73	 3.02	 1.02	 1.07	rg
KIC06276948	 4.94	 2.84	 1.18	 1.33	rg
KIC07205067	 5.06	 2.58	 1.32	 1.63	rg
KIC07581399	 5.07	 2.74	 1.14	 1.47	rg
KIC08378462	 4.99	 2.81	 1.19	 1.37	rg
KIC08702606	 5.47	 3.66	 1.01	 0.68	rg
KIC08718745	 4.90	 3.20	 0.98	 0.95	rg
KIC09173371	 5.06	 2.85	 1.18	 1.36	rg
KIC11819760	 4.82	 2.36	 1.32	 1.76	rg
KIC03748691	 4.76	 2.53	 1.31	 1.57	rg
KIC05795626	 4.92	 2.38	 1.30	 1.78	rg
KIC06690139	 4.98	 3.02	 1.06	 1.16	rg
KIC08813946	 4.86	 2.64	 1.27	 1.50	rg
KIC09705687	 5.13	 2.81	 1.26	 1.42	rg
KIC10323222	 4.53	 2.43	 1.18	 1.58	rg
KIC10404994	 4.80	 2.63	 1.26	 1.49	rg
KIC10426854	 4.97	 2.52	 1.34	 1.66	rg
KIC10716853	 4.87	 2.55	 1.27	 1.59	rg
KIC11444313	 4.76	 2.52	 1.36	 1.58	rg
HD18474    	 5.20	 2.65	 1.54	 1.60	rg
HD49960    	 5.03	 2.61	 1.89	 1.59	rg
HD56438    	 5.04	 2.75	 1.15	 1.45	rg
HD67728    	 4.83	 2.28	 1.87	 1.85	rg
HD78146    	 4.73	 2.13	 1.74	 1.96	rg
HD82595    	 4.99	 2.28	 1.62	 1.90	rg
HD91805    	 5.25	 2.56	 1.63	 1.71	rg
HD94956    	 5.13	 2.76	 1.74	 1.47	rg
HD102851   	 4.99	 2.60	 1.91	 1.58	rg
HD119256   	 4.98	 2.60	 1.71	 1.58	rg
HD120170   	 5.13	 2.76	 1.46	 1.47	rg
HD120213   	 4.58	 1.95	 1.70	 2.08	rg
HD124721   	 5.11	 2.64	 1.58	 1.58	rg
