#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-25T17:49:33 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-25T17:49:33	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/540/3523/tablea1&-out.max=unlimited&-out.all=2&-out.add=_RAJ2000,_DEJ2000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_75403523
#Name: J/MNRAS/540/3523
#Title: BLOeM. Physical properties of OB stars (Bestenlehner+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/mnras/540/3523	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/540/3523	    IVOID of underlying data collection
#INFO	creator=Bestenlehner J.M.	    First author or institution
#INFO	cites=bibcode:2025MNRAS.540.3523B	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/540/3523	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bg-gw-3e3	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-08-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_540_3523_tablea1:
#Name: J/MNRAS/540/3523/tablea1
#Title: Physical parameters of BLOeM OB stars
#Column	_RAJ2000	(F19.15)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F19.15)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	BLOeM	(A5)	BLOeM identifier (N-NNN) (1)	[ucd=meta.id;meta.main]
#Column	SpType	(a17)	Spectral type (1)	[ucd=src.spType]
#Column	RV	(I4)	Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	s_RV	(F5.1)	? Radial velocity dispersion	[ucd=spect.dopplerVeloc]
#Column	Teff	(F4.1)	? Effective temperature	[ucd=phys.temperature.effective]
#Column	E_Teff	(F4.1)	? Error on Teff (upper)	[ucd=stat.error;stat.max]
#Column	e_Teff	(F4.1)	? Error on Teff (lower)	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F5.2)	? log surface gravity	[ucd=phys.gravity]
#Column	E_logg	(F5.2)	? Error on logg (upper)	[ucd=stat.error;stat.max]
#Column	e_logg	(F5.2)	? Error on logg (lower)	[ucd=stat.error]
#Column	loggc	(F5.2)	? log surface gravity centrifugal corrected	[ucd=phys.gravity]
#Column	E_loggc	(F5.2)	? Error on logg_c (upper)	[ucd=stat.error;stat.max]
#Column	e_loggc	(F5.2)	? Error on logg_c (lower)	[ucd=stat.error]
#Column	Rstar	(F5.1)	? Stellar radius	[ucd=phys.size.radius]
#Column	E_Rstar	(F4.1)	? Error on stellar radius (upper)	[ucd=stat.error;stat.max]
#Column	e_Rstar	(F4.1)	? Error on stellar radius (lower)	[ucd=stat.error]
#Column	logL	(F5.2)	? Log stellar luminosity	[ucd=phys.luminosity]
#Column	E_logL	(F5.2)	? Error on logL (upper)	[ucd=stat.error;stat.max]
#Column	e_logL	(F5.2)	? Error on logL (lower)	[ucd=stat.error]
#Column	Y	(F5.2)	? He abundance mass fraction	[ucd=phys.abund.Y]
#Column	E_Y	(F5.2)	? Error on Y (upper)	[ucd=stat.error;stat.max]
#Column	e_Y	(F5.2)	? Error on Y (lower)	[ucd=stat.error;pos.cartesian.y]
#Column	vsini	(I3)	? Projected radial velocity	[ucd=spect.dopplerVeloc]
#Column	E_vsini	(I3)	? Error on vsini (upper)	[ucd=stat.error;stat.max]
#Column	e_vsini	(I2)	? Error on vsini (lower)	[ucd=stat.error;phys.veloc.rotat]
#Column	Mspec	(F5.1)	? Spectroscopic mass	[ucd=phys.mass]
#Column	E_Mspec	(F6.1)	? Error on Mspec (upper)	[ucd=stat.error;stat.max]
#Column	e_Mspec	(F5.1)	? Error on Mspec (lower)	[ucd=stat.error]
#Column	Mevol	(F5.1)	? Evolutionary mass (2)	[ucd=phys.mass]
#Column	E_Mevol	(F4.1)	? Error on Mevol (upper)	[ucd=stat.error;stat.max]
#Column	e_Mevol	(F4.1)	? Error on Mevol (lower)	[ucd=stat.error]
#Column	Age	(F4.1)	? Stellar age	[ucd=time.age]
#Column	E_Age	(F4.1)	? Error on age (upper)	[ucd=stat.error;stat.max]
#Column	e_Age	(F4.1)	? Error on age (lower)	[ucd=stat.error;time.age]
#Column	Kmag	(F6.3)	? K-band magnitude (3)	[ucd=phot.mag;em.IR.K]
#Column	AV	(F5.2)	? Visual extinction	[ucd=phys.absorption]
#Column	Notes	(a30)	Notes (4)	[ucd=meta.note]
#Column	_RA	(F17.13)	Data from Shenar et al., 2024, Cat. J/A+A/690/A289 (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F17.13)	Data from Shenar et al., 2024, Cat. J/A+A/690/A289 (declination part)	[ucd=pos.eq.dec;meta.main]
_RAJ2000	_DEJ2000	BLOeM	SpType	RV	s_RV	Teff	E_Teff	e_Teff	logg	E_logg	e_logg	loggc	E_loggc	e_loggc	Rstar	E_Rstar	e_Rstar	logL	E_logL	e_logL	Y	E_Y	e_Y	vsini	E_vsini	e_vsini	Mspec	E_Mspec	e_Mspec	Mevol	E_Mevol	e_Mevol	Age	E_Age	e_Age	Kmag	AV	Notes	_RA	_DE
016.073022993230001	-72.259163726950021	5-010	B3II             	 162	  1.0	20.1	 1.5	 1.1	 3.50	 0.29	 0.24	 3.50	 0.29	 0.24	 12.7	 3.9	 2.7	 4.38	 0.21	 0.21	 0.15	 0.06	 0.00	 54	 77	14	 18.9	  30.2	  8.4	  9.8	 1.3	 1.1	20.0	 3.6	 4.0	15.362	 0.34	                              	016.0730229932300	-72.2591637269500
016.078093970680001	-72.386172031930030	5-011	B2III:           	 187	  8.0	23.9	 4.1	 4.5	 3.79	 0.67	 0.62	 3.83	 0.67	 0.62	  8.4	 3.9	 2.8	 4.32	 0.26	 0.28	 0.18	 0.13	 0.03	201	 25	25	 17.5	 107.9	 10.9	 10.5	 2.0	 1.6	12.5	 7.5	 5.9	16.120	 0.41	                              	016.0780939706800	-72.3861720319300
016.124665159260001	-72.391535971840000	5-013	B2III            	 186	 52.6	23.5	 7.1	 4.1	 3.74	 0.67	 0.57	 3.85	 0.67	 0.57	  8.4	 4.8	 4.3	 4.29	 0.35	 0.29	 0.15	 0.11	 0.00	303	 31	30	 18.2	 131.5	 11.8	 10.2	 2.9	 1.5	11.1	 6.2	 8.5	16.220	 0.40	SB2                           	016.1246651592600	-72.3915359718400
016.129174082580001	-72.165916417040009	5-015	B2III:           	 164	 24.3	23.8	 1.1	 3.8	 3.74	 0.33	 0.52	 3.77	 0.33	 0.52	  7.7	 2.8	 1.6	 4.23	 0.20	 0.25	 0.21	 0.14	 0.06	153	 24	24	 12.7	  26.5	  7.2	  9.4	 1.3	 1.2	17.1	 5.5	 3.6	15.994	 0.40	SB1                           	016.1291740825800	-72.1659164170400
016.139228714759998	-72.436621532819998	5-016	B1.5II           	 154	  0.9	23.7	 1.2	 3.1	 3.70	 0.17	 0.46	 3.70	 0.17	 0.46	 12.9	 5.5	 3.0	 4.67	 0.25	 0.28	 0.25	 0.14	 0.09	 54	 76	15	 30.6	  42.8	 16.9	 11.7	 2.0	 2.0	13.6	 3.7	 2.8	15.277	 0.32	SiIV 4089 too weak            	016.1392287147600	-72.4366215328200
016.157332537960002	-72.231355022900004	5-017	B0IV             	 109	  7.5	28.0	 3.0	 7.2	 3.50	 0.38	 0.48	 3.63	 0.38	 0.48	  7.9	 4.5	 2.4	 4.53	 0.28	 0.36	 0.31	 0.17	 0.14	248	 30	32	  9.7	  33.4	  5.6	 12.5	 2.0	 2.9	 8.7	 6.9	 4.8	16.200	 0.30	SB1                           	016.1573325379600	-72.2313550229000
016.162630710399991	-72.159104186019988	5-018	B3II             	 155	  0.8	20.0	 1.9	 1.5	 3.12	 0.33	 0.14	 3.13	 0.34	 0.14	 18.2	 6.8	 4.6	 4.68	 0.25	 0.24	 0.20	 0.07	 0.05	 55	 76	14	 16.1	  34.6	  6.7	 11.1	 1.9	 1.6	15.4	 4.3	 3.4	14.671	 0.33	                              	016.1626307104000	-72.1591041860200
016.180517247019996	-72.218245767949995	5-019	B2III            	 171	 17.8	23.8	 1.1	 3.4	 3.88	 0.52	 0.43	 3.89	 0.52	 0.43	  8.2	 3.5	 1.9	 4.29	 0.25	 0.28	 0.23	 0.10	 0.08	111	 21	20	 19.1	  77.4	 10.4	  9.3	 1.5	 1.4	16.6	 5.9	 3.5	16.221	 0.33	SB1                           	016.1805172470200	-72.2182457679500
016.196988832989998	-72.433254712939998	5-020	B1.5IIe          	 142	 27.9	    	    	    	     	     	     	     	     	     	     	    	    	     	     	     	     	     	     	   	   	  	     	      	     	     	    	    	    	    	    	14.047	     	Be                            	016.1969888329900	-72.4332547129400
016.200064718760004	-72.368967630499995	5-021	B1II             	 152	  1.3	23.7	 1.2	 0.8	 3.30	 0.17	 0.29	 3.30	 0.17	 0.29	 14.9	 6.0	 3.5	 4.80	 0.26	 0.26	 0.24	 0.09	 0.07	 35	 15	33	 16.2	  21.5	  7.8	 12.7	 2.3	 1.8	12.6	 2.5	 2.7	14.978	 0.26	SiIV 4089 too weak            	016.2000647187600	-72.3689676305000
016.207143001550001	-72.276003771289993	5-022	B3II             	 155	  0.9	22.4	 2.3	 1.9	 3.50	 0.33	 0.24	 3.50	 0.33	 0.24	 13.5	 4.3	 3.2	 4.62	 0.22	 0.21	 0.24	 0.09	 0.08	 21	 13	13	 21.0	  40.0	  9.6	 12.1	 1.6	 1.7	13.6	 3.1	 2.9	15.201	 0.41	                              	016.2071430015500	-72.2760037712900
016.209947291940001	-72.383025676629998	5-023	B1.5IIIe         	 160	  2.9	22.0	 2.6	 3.4	 4.12	 0.38	 0.65	 4.13	 0.38	 0.65	 14.6	 6.3	 4.1	 4.66	 0.25	 0.27	 0.24	 0.13	 0.08	200	 25	25	106.5	 285.9	 65.2	 12.5	 1.5	 2.6	13.1	 3.8	 3.1	14.872	 0.35	SiIV 4089+Hgamma poor fit     	016.2099472919400	-72.3830256766300
016.215455237269996	-72.453679427589989	5-024	B0.5III          	 118	  0.8	29.9	 1.2	 2.7	 3.70	 0.23	 0.34	 3.70	 0.23	 0.34	 11.7	 4.9	 2.7	 5.00	 0.26	 0.27	 0.25	 0.06	 0.08	 12	 10	12	 25.2	  42.2	 12.8	 15.7	 3.6	 2.6	 7.8	 1.7	 1.6	15.172	 0.36	                              	016.2154552372700	-72.4536794275900
016.221247666600000	-72.357317201730012	5-025	B1III            	 144	  6.1	23.7	 7.4	 2.0	 3.87	 0.57	 0.40	 3.88	 0.57	 0.40	  6.2	 3.6	 3.2	 4.03	 0.37	 0.28	 0.15	 0.16	 0.00	 54	 19	20	 10.5	  60.3	  6.6	  9.1	 1.9	 1.5	11.7	 6.4	 9.9	16.928	 0.21	SiIV 4089 too weak            	016.2212476666000	-72.3573172017300
016.222008805700000	-72.292446199300002	5-026	B1II             	 132	  0.6	23.8	 1.1	 1.1	 3.31	 0.29	 0.14	 3.32	 0.29	 0.14	 14.2	 5.6	 3.2	 4.76	 0.26	 0.26	 0.18	 0.07	 0.03	 55	 76	14	 15.1	  28.9	  6.0	 12.7	 2.5	 1.8	12.4	 2.6	 2.7	15.086	 0.28	                              	016.2220088057000	-72.2924461993000
016.228687334389996	-72.376068038499994	5-027	B1.5III:         	 143	 14.2	23.8	 6.9	 4.9	 3.74	 0.62	 0.67	 3.78	 0.62	 0.67	 11.5	 7.0	 5.7	 4.58	 0.35	 0.32	 0.23	 0.14	 0.08	201	 25	25	 28.8	 195.7	 18.9	 12.6	 2.6	 2.9	 9.6	 6.0	 6.0	15.532	 0.26	SB1, SiIV 4089 too weak       	016.2286873343900	-72.3760680385000
016.236386524199997	-72.226940584749997	5-028	B0V              	 157	  9.5	29.9	 3.0	 3.0	 3.69	 0.38	 0.48	 3.80	 0.38	 0.48	  6.0	 2.7	 1.6	 4.42	 0.27	 0.28	 0.32	 0.18	 0.15	248	 30	32	  8.4	  23.4	  4.8	 12.9	 2.4	 1.8	 7.1	 2.7	 5.1	16.643	 0.34	                              	016.2363865242000	-72.2269405847500
016.256432823240001	-72.252767607359999	5-030	B1.5III:         	 143	 53.7	23.8	 5.3	 3.8	 3.50	 0.52	 0.43	 3.57	 0.52	 0.43	 10.5	 5.5	 4.3	 4.50	 0.31	 0.29	 0.31	 0.10	 0.15	200	 25	24	 14.9	  69.3	  8.9	 12.2	 2.0	 2.6	10.6	 6.4	 5.4	15.698	 0.33	SB2, SiIV 4089 too weak       	016.2564328232400	-72.2527676073600
016.272354619609995	-72.399676245679998	5-031	B2.5:II:e + A    	 181	  2.5	    	    	    	     	     	     	     	     	     	     	    	    	     	     	     	     	     	     	   	   	  	     	      	     	     	    	    	    	    	    	14.233	     	Be                            	016.2723546196100	-72.3996762456800
016.276325933630002	-72.300683711139996	5-032	B2.5II           	 167	  1.0	22.4	 2.3	 1.9	 3.50	 0.33	 0.33	 3.50	 0.33	 0.33	 10.5	 4.0	 2.7	 4.40	 0.25	 0.24	 0.24	 0.15	 0.08	 44	 19	16	 12.8	  27.4	  6.6	 10.2	 1.6	 1.3	15.9	 4.8	 3.4	15.767	 0.37	                              	016.2763259336300	-72.3006837111400
016.286283480520002	-72.364865513820007	5-033	B1III            	 144	  1.0	29.9	 1.5	 1.1	 4.31	 0.14	 0.29	 4.31	 0.14	 0.29	  5.6	 2.2	 1.3	 4.34	 0.26	 0.26	 0.21	 0.08	 0.06	 36	 18	23	 23.0	  27.1	 11.1	 12.4	 1.6	 1.1	 7.9	 1.7	 4.4	16.793	 0.36	                              	016.2862834805200	-72.3648655138200
016.296884117510004	-72.404635027670025	5-034	B1.5II:e         	 172	 19.0	    	    	    	     	     	     	     	     	     	     	    	    	     	     	     	     	     	     	   	   	  	     	      	     	     	    	    	    	    	    	13.684	     	Be                            	016.2968841175100	-72.4046350276700
016.303232780929996	-72.485000459480005	5-035	B1.5II:e         	 172	  7.1	23.3	 5.4	 5.4	 3.12	 1.05	 0.81	 3.30	 1.05	 0.81	 19.2	10.3	 7.9	 4.99	 0.30	 0.31	 0.52	 0.03	 0.17	303	 30	30	 26.9	 474.4	 17.6	 15.5	 3.7	 2.6	 8.7	 2.8	 2.9	14.060	 1.36	SB?, 2MASS                    	016.3032327809300	-72.4850004594800
016.324842356850002	-72.476255236190028	5-036	B9Ib             	 347	  1.5	    	    	    	     	     	     	     	     	     	     	    	    	     	     	     	     	     	     	   	   	  	     	      	     	     	    	    	    	    	    	14.425	     	Poor fits                     	016.3248423568500	-72.4762552361900
016.346576504120002	-72.380608310950009	5-037	B0.5V: + early B 	 118	 18.3	23.5	 7.1	 3.8	 3.69	 0.48	 0.48	 3.72	 0.48	 0.48	 11.1	 6.6	 5.7	 4.53	 0.36	 0.30	 0.17	 0.15	 0.02	153	 24	24	 23.6	 108.2	 15.0	 12.5	 2.5	 2.9	 9.7	 5.9	 6.0	15.640	 0.27	SB2                           	016.3465765041200	-72.3806083109500
016.353345022930000	-72.453093004219994	5-038	B1.5III-II       	 128	  6.2	23.7	 1.2	 2.3	 3.70	 0.17	 0.34	 3.71	 0.17	 0.34	 14.2	 5.8	 3.3	 4.75	 0.25	 0.27	 0.18	 0.13	 0.03	113	 20	19	 37.8	  51.2	 19.2	 12.6	 2.2	 2.2	12.9	 3.0	 3.0	15.090	 0.31	SB1                           	016.3533450229300	-72.4530930042200
016.353633042169999	-72.345066359309996	5-039	B1.5III          	 122	 40.6	23.7	 1.2	 2.0	 3.76	 0.29	 0.29	 3.76	 0.29	 0.29	  9.1	 3.6	 2.1	 4.37	 0.25	 0.26	 0.18	 0.07	 0.03	 78	 95	20	 17.6	  34.0	  8.5	  9.9	 1.7	 1.3	15.7	 4.4	 2.8	16.034	 0.31	SB1                           	016.3536330421700	-72.3450663593100
016.362493091220003	-72.300052908829997	5-040	B1II             	  95	 25.1	23.7	 5.1	 1.2	 3.47	 0.29	 0.34	 3.48	 0.29	 0.34	 15.1	 7.2	 5.9	 4.81	 0.32	 0.26	 0.15	 0.14	 0.00	 77	 97	20	 25.0	  56.0	 14.4	 14.0	 3.2	 2.1	 9.4	 3.1	 3.2	14.988	 0.26	SB1, SiIV 4089 too weak       	016.3624930912200	-72.3000529088300
016.366453539369999	-72.477885884900004	5-041	B1II             	 137	  1.8	23.8	 1.1	 1.1	 3.12	 0.29	 0.19	 3.13	 0.29	 0.19	 16.5	 6.6	 3.8	 4.89	 0.26	 0.26	 0.20	 0.08	 0.05	 55	 77	13	 13.3	  25.8	  5.7	 13.4	 3.4	 1.7	10.7	 3.2	 1.8	14.707	 0.27	SiIV 4089 too weak            	016.3664535393700	-72.4778858849000
016.369240548760001	-72.489833870179993	5-042	O9.7III(n)       	 155	  6.6	31.8	 3.0	 1.9	 3.55	 0.48	 0.24	 3.62	 0.48	 0.24	  9.5	 4.0	 2.5	 4.91	 0.27	 0.26	 0.34	 0.09	 0.13	201	 25	24	 13.5	  47.3	  6.4	 17.6	 3.2	 2.5	 5.8	 1.8	 2.2	15.499	 0.38	SB1                           	016.3692405487600	-72.4898338701800
016.384154546419996	-72.479053136090016	5-043	B1.5II           	 142	  1.4	22.5	 1.6	 2.0	 3.30	 0.17	 0.34	 3.31	 0.17	 0.34	 17.9	 7.1	 4.3	 4.87	 0.25	 0.26	 0.22	 0.08	 0.07	 55	 77	14	 23.6	  31.1	 12.1	 12.8	 3.0	 1.7	11.3	 3.6	 2.0	14.603	 0.32	                              	016.3841545464200	-72.4790531360900
016.416058207959999	-72.340822949610001	5-044	O9.5IV           	 201	  3.8	33.7	 1.9	 1.5	 4.07	 0.43	 0.29	 4.09	 0.43	 0.29	  8.7	 3.5	 2.1	 4.95	 0.26	 0.26	 0.46	 0.05	 0.10	153	 24	24	 33.8	 100.2	 16.4	 18.4	 2.7	 2.2	 5.0	 1.4	 1.8	15.606	 0.40	SB1                           	016.4160582079600	-72.3408229496100
016.416437152200000	-72.268205638870015	5-045	O9.2III + early B	  66	 13.6	29.9	 1.5	 2.3	 3.31	 0.14	 0.29	 3.42	 0.15	 0.29	 14.9	 6.1	 3.5	 5.20	 0.26	 0.26	 0.34	 0.10	 0.08	250	 30	30	 21.4	  26.3	 10.3	 18.9	 4.4	 3.1	 6.5	 1.4	 1.1	14.617	 0.34	SB1                           	016.4164371522000	-72.2682056388700
016.423137915440002	-72.434459013210017	5-046	B1.5:II:e        	 -11	 22.2	    	    	    	     	     	     	     	     	     	     	    	    	     	     	     	     	     	     	   	   	  	     	      	     	     	    	    	    	    	    	13.550	     	Be                            	016.4231379154400	-72.4344590132100
016.425096869160001	-72.222627128819994	5-047	B2.5III:e        	 143	  0.7	21.3	 3.4	 2.6	 3.85	 0.59	 0.59	 3.87	 0.59	 0.59	 12.5	 4.2	 3.6	 4.46	 0.22	 0.20	 0.31	 0.13	 0.15	154	 25	24	 42.3	 175.1	 25.5	 11.4	 1.6	 1.4	14.8	 3.7	 3.8	15.078	 0.49	HI poor fits                  	016.4250968691600	-72.2226271288200
016.427570197580000	-72.463247099239993	5-048	O9.7V(n)         	 145	  4.5	29.9	 2.3	 2.7	 3.69	 0.48	 0.52	 3.72	 0.48	 0.52	 19.4	 7.3	 4.6	 5.43	 0.24	 0.25	 0.36	 0.14	 0.09	201	 25	24	 71.4	 231.3	 40.9	 24.3	 5.0	 5.1	 5.2	 1.4	 0.9	14.258	 1.54	SB1                           	016.4275701975800	-72.4632470992400
016.429497305639998	-72.495578970630021	5-049	B0IV             	 165	 18.3	31.5	 3.1	 3.1	 3.87	 0.57	 0.51	 3.95	 0.57	 0.51	  5.8	 2.5	 1.6	 4.47	 0.27	 0.27	 0.24	 0.17	 0.08	250	 31	32	 11.0	  50.8	  6.4	 13.7	 2.9	 1.7	 5.8	 2.1	 4.8	16.847	 0.43	SB1                           	016.4294973056400	-72.4955789706300
016.433447499229999	-72.244557149640002	5-050	O9.7V: + early B 	 181	 36.4	29.9	 1.9	 1.5	 3.31	 0.29	 0.19	 3.50	 0.31	 0.19	 16.3	 6.7	 3.9	 5.28	 0.26	 0.26	 0.40	 0.10	 0.13	353	138	26	 30.4	  64.4	 13.3	 19.9	 3.9	 3.0	 6.6	 1.1	 1.3	14.388	 0.34	SB2                           	016.4334474992300	-72.2445571496400
016.435983170539991	-72.261592651249998	5-051	B0.2III          	 142	 34.6	29.5	 3.4	 6.9	 3.69	 0.71	 0.81	 3.97	 0.72	 0.81	  5.0	 2.7	 1.5	 4.22	 0.28	 0.34	 0.31	 0.24	 0.16	391	 55	50	  8.4	  66.3	  5.4	 10.4	 2.8	 1.8	 7.3	 5.9	 7.3	17.117	 0.31	                              	016.4359831705400	-72.2615926512500
016.450110709350000	-72.344834995159999	5-052	B9Iab            	 128	  0.7	13.5	 0.4	 1.9	 2.31	 0.14	 0.14	 2.32	 0.14	 0.14	 45.9	12.7	 7.9	 4.80	 0.14	 0.21	 0.15	 0.03	 0.00	 37	 14	35	 16.0	  14.1	  5.6	 14.5	 1.8	 2.0	11.3	 2.6	 1.8	13.094	 0.43	Post MS, HeI too strong, 2MASS	016.4501107093500	-72.3448349951600
016.457126912660005	-72.412399050900021	5-053	B3II:            	 134	  8.7	20.1	 4.3	 2.7	 3.47	 0.57	 0.46	 3.56	 0.57	 0.46	  8.8	 4.2	 3.4	 4.06	 0.30	 0.26	 0.15	 0.09	 0.00	204	 27	25	 10.3	  50.9	  6.2	  8.7	 1.4	 1.4	19.4	 9.6	 9.0	16.235	 0.31	                              	016.4571269126600	-72.4123990509000
016.469269830580000	-72.235965385200004	5-056	B2II             	 143	  6.6	22.3	 2.3	 3.0	 3.50	 0.33	 0.48	 3.54	 0.33	 0.48	 12.5	 5.4	 3.4	 4.54	 0.26	 0.27	 0.22	 0.11	 0.07	153	 24	24	 19.6	  46.6	 11.2	 10.6	 2.2	 1.5	14.9	 4.5	 3.8	15.425	 0.35	lpv/SB1                       	016.4692698305800	-72.2359653852000
016.471628307290000	-72.347306500459993	5-057	B1III: + early B 	 254	 68.1	22.6	 8.4	 2.3	 4.12	 0.33	 0.48	 4.12	 0.33	 0.48	 12.0	 7.4	 7.2	 4.53	 0.40	 0.27	 0.15	 0.15	 0.00	 81	 18	17	 69.2	 222.7	 45.4	 12.5	 2.7	 2.6	 9.5	 5.4	 6.2	15.466	 0.25	SB2                           	016.4716283072900	-72.3473065004600
016.479223702710001	-72.266959661260003	5-058	B1III-II         	 136	  1.5	23.7	 1.2	 2.7	 3.70	 0.34	 0.46	 3.71	 0.34	 0.46	  9.8	 4.2	 2.3	 4.44	 0.26	 0.28	 0.24	 0.14	 0.09	 78	 95	20	 18.0	  43.7	  9.9	  9.9	 2.0	 1.3	15.5	 4.8	 3.0	15.924	 0.24	SiIV 4089 too weak            	016.4792237027100	-72.2669596612600
016.481027749300001	-72.438791955400006	5-059	B0.2IV           	 131	  3.3	31.5	 2.7	 1.6	 4.16	 0.34	 0.23	 4.16	 0.34	 0.23	  6.4	 2.6	 1.6	 4.55	 0.27	 0.26	 0.25	 0.08	 0.08	 54	 19	20	 21.2	  50.0	  9.9	 14.4	 2.5	 1.6	 6.3	 1.6	 3.8	16.473	 0.38	                              	016.4810277493000	-72.4387919554000
016.482341096880003	-72.216144009890002	5-060	B1.5II           	 157	  0.9	23.7	 1.2	 2.0	 3.30	 0.34	 0.17	 3.30	 0.34	 0.17	 15.0	 6.0	 3.5	 4.80	 0.25	 0.26	 0.34	 0.05	 0.10	 40	 13	11	 16.5	  37.7	  6.9	 12.8	 2.3	 2.1	12.6	 2.9	 2.8	14.932	 0.31	                              	016.4823410968800	-72.2161440098900
016.487275472269999	-72.306186494249999	5-061	B2III:           	 138	 13.0	22.6	 4.9	 4.6	 4.12	 0.33	 0.57	 4.14	 0.33	 0.57	  6.2	 3.4	 2.5	 3.96	 0.31	 0.32	 0.18	 0.16	 0.03	156	 26	25	 19.1	  55.8	 12.0	  8.2	 1.8	 1.5	16.7	 8.9	13.8	16.917	 0.25	                              	016.4872754722700	-72.3061864942500
016.489474215900000	-72.198476536239994	5-062	B1.5 + early B+  	  67	 38.4	29.9	 2.3	 7.4	 4.33	 0.11	 0.69	 4.35	 0.11	 0.69	  9.1	 5.1	 2.5	 4.78	 0.27	 0.35	 0.18	 0.10	 0.03	253	 30	29	 68.1	 101.7	 42.1	 14.1	 3.1	 2.5	 7.3	 5.3	 2.7	15.759	 0.34	SB3                           	016.4894742159000	-72.1984765362400
016.506205933459992	-72.349742781659998	5-063	B0V: + early B   	 234	 44.3	31.8	 2.7	 1.5	 4.12	 0.38	 0.19	 4.14	 0.38	 0.19	  8.9	 3.8	 2.3	 4.86	 0.27	 0.27	 0.23	 0.06	 0.07	204	 26	25	 39.7	 106.4	 17.7	 17.3	 2.6	 2.5	 6.1	 1.4	 2.6	15.732	 0.35	SB2                           	016.5062059334600	-72.3497427816600
016.506461837580005	-72.391234332460002	5-064	B1.5II           	 143	  1.3	21.3	 2.0	 2.0	 3.13	 0.23	 0.34	 3.13	 0.23	 0.34	 25.1	10.0	 6.4	 5.07	 0.25	 0.25	 0.17	 0.11	 0.02	 35	 57	33	 31.0	  49.8	 16.1	 15.2	 2.6	 3.2	10.6	 2.7	 2.9	13.901	 0.31	                              	016.5064618375800	-72.3912343324600
016.517577251830001	-72.226160439769998	5-065	B0IV             	 154	  4.9	29.9	 1.2	 2.3	 3.53	 0.23	 0.29	 3.55	 0.23	 0.29	 12.7	 5.3	 3.0	 5.07	 0.26	 0.27	 0.30	 0.09	 0.07	113	 20	19	 20.8	  34.7	 10.0	 16.9	 3.7	 2.9	 7.1	 1.6	 1.2	15.023	 0.33	                              	016.5175772518300	-72.2261604397700
016.526312647699999	-72.300973474990002	5-066	B2II:e+          	 145	  0.5	21.3	 4.5	 2.6	 3.10	 0.49	 0.49	 3.20	 0.49	 0.49	 28.3	11.5	10.4	 5.17	 0.27	 0.22	 0.25	 0.16	 0.09	251	 30	29	 46.0	 160.8	 27.7	 19.1	 3.8	 3.3	 7.3	 2.1	 1.5	13.364	 0.93	Hgamma poor fit               	016.5263126477000	-72.3009734749900
016.545389094500006	-72.314915605530004	5-068	B1III II         	 154	  4.9	23.7	 1.2	 1.2	 3.76	 0.34	 0.23	 3.76	 0.34	 0.23	  8.7	 3.4	 2.0	 4.33	 0.26	 0.26	 0.24	 0.10	 0.08	 39	 16	14	 16.0	  36.2	  7.2	  9.7	 1.7	 1.3	16.9	 3.1	 3.4	16.128	 0.28	SiIV 4089 too weak            	016.5453890945000	-72.3149156055300
016.552507009410000	-72.215360733740013	5-069	B3IIe            	 170	  3.1	    	    	    	     	     	     	     	     	     	     	    	    	     	     	     	     	     	     	   	   	  	     	      	     	     	    	    	    	    	    	13.920	     	SB2?, Be                      	016.5525070094100	-72.2153607337400
